
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\$RECYCLE.BIN\S-1-5-21-804885317-3635087457-352340685-1005\desktop.ini.txt	[Extension: .ini]	[Size: 129 bytes]	[Last modification: 2022-09-29 00:42:22]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\bootTel.dat.txt	[Extension: .dat]	[Size: 4294967295 bytes]	[Last modification: 2022-12-13 13:40:20]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\DevCode\C\FileComparisonLinux\FileComparison.c.txt	[Extension: .c]	[Size: 6732 bytes]	[Last modification: 2023-07-31 19:10:58]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Druide_Téléchargement\Diff_Antidote_11_Module_E_11.4.0.1.msp.txt	[Extension: .msp]	[Size: 452640768 bytes]	[Last modification: 2023-05-24 10:03:58]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Druide_Téléchargement\Diff_Antidote_11_Module_F_11.4.0.1.msp.txt	[Extension: .msp]	[Size: 735768576 bytes]	[Last modification: 2023-05-24 09:58:57]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Druide_Téléchargement\Diff_Connectix_11_C_11.4.0.1_2.msp.txt	[Extension: .msp]	[Size: 454148096 bytes]	[Last modification: 2023-05-24 10:06:20]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\sr\Inazuma\2013 Xtreme\BALANCING.docx.txt	[Extension: .docx]	[Size: 10950 bytes]	[Last modification: 2023-04-04 11:43:36]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\sr\Inazuma\2013 Xtreme\IEGS13 Xtreme - BLOCK.docx.txt	[Extension: .docx]	[Size: 7612 bytes]	[Last modification: 2023-04-04 11:43:14]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\sr\Inazuma\2013 Xtreme\IEGS13 Xtreme - CATCH.docx.txt	[Extension: .docx]	[Size: 7382 bytes]	[Last modification: 2023-04-04 11:41:52]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\sr\Inazuma\2013 Xtreme\IEGS13 Xtreme - DRIBBLE.docx.txt	[Extension: .docx]	[Size: 7820 bytes]	[Last modification: 2023-04-04 11:43:19]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\sr\Inazuma\2013 Xtreme\IEGS13 Xtreme - SHOOT.docx.txt	[Extension: .docx]	[Size: 8710 bytes]	[Last modification: 2023-04-04 11:43:24]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\sr\Inazuma\2013 Xtreme\Inazuma Eleven GO Strikers 2013 - FAQ.pdf.txt	[Extension: .pdf]	[Size: 728101 bytes]	[Last modification: 2023-04-04 11:44:27]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\sr\Inazuma\2013 Xtreme\Inazuma Eleven GO Strikers 2013 - Features.pdf.txt	[Extension: .pdf]	[Size: 3563773 bytes]	[Last modification: 2023-04-04 11:44:21]
