
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\$RECYCLE.BIN\S-1-5-21-804885317-3635087457-352340685-1005\desktop.ini.txt	[Extension: .ini]	[Size: 129 bytes]	[Last modification: 2023-03-17 11:42:24]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0015.JPG.txt	[Extension: .JPG]	[Size: 1769203 bytes]	[Last modification: 2015-05-26 06:38:52]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0018.JPG.txt	[Extension: .JPG]	[Size: 1871606 bytes]	[Last modification: 2015-05-26 06:41:08]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0019.JPG.txt	[Extension: .JPG]	[Size: 1908947 bytes]	[Last modification: 2015-05-26 06:41:10]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0020.JPG.txt	[Extension: .JPG]	[Size: 1909196 bytes]	[Last modification: 2015-05-26 06:47:26]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0137.JPG.txt	[Extension: .JPG]	[Size: 1635899 bytes]	[Last modification: 2015-05-30 12:49:14]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0138.JPG.txt	[Extension: .JPG]	[Size: 114194 bytes]	[Last modification: 2015-05-30 12:49:32]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0162.JPG.txt	[Extension: .JPG]	[Size: 2395624 bytes]	[Last modification: 2015-05-31 14:39:04]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0164.JPG.txt	[Extension: .JPG]	[Size: 2465129 bytes]	[Last modification: 2015-05-31 14:39:04]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0199.JPG.txt	[Extension: .JPG]	[Size: 1719419 bytes]	[Last modification: 2015-06-20 13:37:32]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0264.JPG.txt	[Extension: .JPG]	[Size: 1842394 bytes]	[Last modification: 2015-07-27 22:05:02]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0272.JPG.txt	[Extension: .JPG]	[Size: 106207 bytes]	[Last modification: 2015-07-30 18:27:30]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0328.JPG.txt	[Extension: .JPG]	[Size: 2890618 bytes]	[Last modification: 2015-08-12 12:01:20]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0329.JPG.txt	[Extension: .JPG]	[Size: 2865772 bytes]	[Last modification: 2015-08-12 12:01:36]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0330.JPG.txt	[Extension: .JPG]	[Size: 2947345 bytes]	[Last modification: 2015-08-12 12:01:38]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0333.JPG.txt	[Extension: .JPG]	[Size: 109279 bytes]	[Last modification: 2015-08-12 12:02:28]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0334.JPG.txt	[Extension: .JPG]	[Size: 2194422 bytes]	[Last modification: 2015-08-12 12:02:52]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0338.JPG.txt	[Extension: .JPG]	[Size: 2541583 bytes]	[Last modification: 2015-08-12 12:03:02]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0343.JPG.txt	[Extension: .JPG]	[Size: 2686749 bytes]	[Last modification: 2015-08-12 12:09:50]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0344.JPG.txt	[Extension: .JPG]	[Size: 2689445 bytes]	[Last modification: 2015-10-31 17:00:22]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0393.JPG.txt	[Extension: .JPG]	[Size: 1168017 bytes]	[Last modification: 2015-08-19 20:51:38]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0482.JPG.txt	[Extension: .JPG]	[Size: 111060 bytes]	[Last modification: 2015-09-25 13:00:34]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0502.JPG.txt	[Extension: .JPG]	[Size: 2328985 bytes]	[Last modification: 2015-09-29 13:02:30]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0507.JPG.txt	[Extension: .JPG]	[Size: 2847313 bytes]	[Last modification: 2015-09-29 13:04:42]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0511.JPG.txt	[Extension: .JPG]	[Size: 2409866 bytes]	[Last modification: 2015-10-09 21:48:40]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0512.JPG.txt	[Extension: .JPG]	[Size: 2655368 bytes]	[Last modification: 2015-10-08 06:49:46]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0513.JPG.txt	[Extension: .JPG]	[Size: 2926600 bytes]	[Last modification: 2015-10-08 06:49:46]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0514.JPG.txt	[Extension: .JPG]	[Size: 2018600 bytes]	[Last modification: 2015-10-08 06:49:48]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0517.JPG.txt	[Extension: .JPG]	[Size: 2113324 bytes]	[Last modification: 2015-10-08 07:17:26]
